Event_Id,Investigation_Type,Accident_Number,Event_Date,Location,Country,Airport_Name,Injury_Severity,Aircraft_damage,Aircraft_Category,Registration_Number,Amateur_Built,Number_of_Engines,Purpose_of_flight,Total_Fatal_Injuries,Total_Serious_Injuries,Total_Minor_Injuries,Total_Uninjured,Weather_Condition,Report.Status,Publication_Date
20020917X02155,Accident,LAX82DA035,1/3/1982,"SAN CLEMENTINE, CA",United States,,Non-Fatal,Substantial,Airplane,N8630V,No,1,Personal,0,0,2,0,VMC,Probable Cause,3/1/1983
20020917X01992,Accident,FTW82DA036,1/3/1982,"FORT WORTH, TX",United States,OAK GROVE,Non-Fatal,Substantial,Airplane,N71054,No,1,Personal,0,0,2,0,VMC,Probable Cause,3/1/1983
20020917X01960,Accident,DEN82DTI09,1/3/1982,"GREENOUGH, MT",United States,,Non-Fatal,Substantial,Airplane,N23069,No,1,Ferry,0,0,0,1,VMC,Probable Cause,3/1/1983
20020917X02618,Accident,SEA82FA015,1/4/1982,"PLEASANT HILL, OR",United States,,Fatal(4),Destroyed,Airplane,N8265A,No,1,Personal,4,0,0,0,VMC,Probable Cause,4/1/1983
20020917X02254,Accident,LAX82FA038,1/4/1982,"NEAR LAS VEGAS, NV",United States,,Fatal(2),Destroyed,Airplane,N1956H,No,2,Unknown,2,0,0,0,VMC,Probable Cause,4/1/1983
20020917X01880,Accident,CHI82FA019,1/4/1982,"FORT WAYNE, IN",United States,,Fatal(2),Destroyed,Airplane,N2CU,No,2,Personal,2,2,0,0,IMC,Probable Cause,4/1/1983
20020917X01991,Accident,FTW82DA035,1/4/1982,"ESTANCIA, NM",United States,ESTANCIA MUNICIPAL,Non-Fatal,Substantial,Airplane,N32335,No,1,Personal,0,0,2,0,VMC,Probable Cause,4/1/1983
20020917X02410,Accident,MIA82FKA05,1/4/1982,SAINT CROIX,,ALEXANDER HAMILTON,Fatal(1),Destroyed,Airplane,N5151U,No,1,Business,1,0,1,0,VMC,Probable Cause,4/1/1983
20020917X02304,Accident,LAX82FUM06,1/5/1982,"RAMONA, CA",United States,RAMONA,Fatal(3),Destroyed,Airplane,N4520K,No,1,Business,3,0,0,0,IMC,Probable Cause,5/1/1983
20020917X02253,Accident,LAX82FA036,1/5/1982,"BLACK CANYON CI, AZ",United States,,Fatal(1),Destroyed,Airplane,N4696Z,No,1,Personal,1,0,0,0,IMC,Probable Cause,5/1/1983
20020917X01906,Accident,DCA82AA009,1/5/1982,"ITHACA, NY",United States,TOMPKINS COUNTY,Fatal(2),Destroyed,Airplane,N546BA,No,2,Unknown,2,0,0,0,VMC,Probable Cause,5/1/1983
20020917X01764,Incident,ATL82IA029,1/5/1982,"PENSACOLA, FL",United States,,Incident,Minor,Airplane,N5782N,No,1,Business,0,0,0,1,VMC,Probable Cause,5/1/1983
20020917X01993,Accident,FTW82DA037,1/5/1982,"LONOKE, AR",United States,,Non-Fatal,Substantial,Airplane,N5304P,No,1,Business,0,1,0,1,VMC,Probable Cause,5/1/1983
